States,tot_pop,rural_pop,urban_pop,total_area,human_density_psqkm,sex_ratio_p1000m,literacy,forest_cover_sqkm
Uttar Pradesh,199812341,155317278,44495063,240928,829,912,67.68,14679
Maharashtra,112374333,61556074,50818259,307713,365,929,82.34,50682
Bihar,104099452,92341436,11758016,94163,1106,918,61.8,7299
West Bengal,91276115,62183113,29093002,88752,1028,950,76.26,16847
Andhra Pradesh,84580777,56361702,28219075,275045,308,993,67.02,28147
Madhya Pradesh,72626809,52557404,20069405,308252,236,931,69.32,77414
Tamil Nadu,72147030,37229590,34917440,130060,555,996,80.09,26281
Rajasthan,68548437,51500352,17048085,342239,200,928,66.11,16572
Karnataka,61095297,37469335,23625962,191791,319,973,75.36,37550
Gujarat,60439692,34694609,25745083,196244,308,919,78.03,14757
Orissa,41974218,34970562,7003656,155707,270,979,72.87,51345
Kerala,33406061,17471135,15934926,38852,860,1084,94,20321
Jharkhand,32988134,25055073,7933061,79716,414,948,66.41,23553
Assam,31205576,26807034,4398542,78438,398,958,72.19,28105
Punjab,27743338,17344192,10399146,50362,551,895,75.84,1837
Chhattisgarh,25545198,19607961,5937237,135192,189,991,70.28,55547
Haryana,25351462,16509359,8842103,44212,573,879,75.55,1588
Delhi,16787941,419042,16368899,1483,11320,868,86.21,192
Jammu and Kashmir,12541302,9108060,3433242,222236,56,889,67.16,23241
Uttarakhand,10086292,7036954,3049338,53483,189,963,78.82,24295
Himachal Pradesh,6864602,6176050,688552,55673,123,972,82.8,15100
Tripura,3673917,2712464,961453,10486,350,960,87.22,7726
Meghalaya,2966889,2371439,595450,22429,132,989,74.43,17146
Manipur,2855794,2021640,834154,22327,128,985,76.94,17346
Nagaland,1978502,1407536,570966,16579,119,931,79.55,12489
Goa,1458545,551731,906814,3702,394,973,88.7,2229
Arunachal Pradesh,1383727,1066358,317369,83743,17,938,65.38,66964
Puducherry,1247953,395200,852753,490,2547,1037,85.85,54
Mizoram,1097206,525435,571771,21081,52,976,91.33,18186
Chandigarh,1055450,28991,1026459,114,9258,818,86.05,22
Sikkim,610577,456999,153578,7096,86,890,81.42,3344
Andaman and Nicobar Islands,380581,237093,143488,8249,46,876,86.63,6742
Dadra and Nagar Haveli,343709,183114,160595,491,700,774,76.24,207
Daman and Diu,243247,60396,182851,111,2191,618,87.1,20
Lakshadweep,64473,14141,50332,30,2149,946,91.85,27
